"","name","nameID","region","longitude","latitude","age_median_avg","age_under18","age_1839","age_4064","age_over65","age_total","income_avg","lang_eng","lang_span","lang_indo","lang_asian","lang_other","lang_total","school_pri_prek","school_pub_prek","school_pri_k4","school_pub_k4","school_pri_58","school_pub_58","school_pri_912","school_pub_912","school_total"
"1","International District/Chinatown Branch","idc","SER",-122.322784,47.596233,35.9888888888889,7322,47528,23379,10838,89067,63559.6666666667,62557,4858,4364,11600,3332,86711,428,203,210,1927,886,1187,162,1327,6330
"2","Beacon Hill Branch","bea","SER",-122.311395,47.577994,38.7222222222222,8839,17068,16248,6976,49131,70760,29553,3154,1020,9970,2675,46372,467,336,571,2054,1412,1239,252,1758,8089
"3","Columbia Branch","col","SER",-122.286991,47.559901,38.8769230769231,13564,20432,22620,8640,65256,65872.9230769231,36454,3310,1194,15254,5127,61339,522,630,784,3018,1818,2383,346,2658,12159
"4","NewHolly Branch","nhy","SER",-122.290419,47.539208,38.5727272727273,11949,17445,18785,7439,55618,62055.2727272727,27445,3073,725,15821,5071,52135,267,645,388,2718,1386,2540,262,2440,10646
"5","Rainer Beach Branch","rbe","SER",-122.270661,47.521479,37.9833333333333,8108,10986,12290,4934,36318,60888,18340,2314,317,9988,3266,34225,143,387,242,1752,1110,1767,137,1720,7258
"6","University Branch","uni","NER",-122.317912,47.66525,30.6333333333333,8290,45771,16593,6379,77033,79080.0666666667,58682,2131,4202,8711,562,74288,798,253,444,1893,706,1276,229,894,6493
"7","Northgate Branch","nga","NER",-122.322875,47.706079,36.5230769230769,11167,27363,20863,8491,67884,82219.3076923077,49498,3232,3170,6351,1581,63832,1056,380,769,2338,1062,1411,255,1487,8758
"8","Northeast Branch","net","NER",-122.290717,47.677861,34.53125,12498,35785,20461,8683,77427,90091.25,58766,1873,4067,8479,717,73902,1173,424,911,2835,1340,1954,551,1591,10779
"9","Lake City Branch","lcy","NER",-122.298173,47.719819,39.48,9083,18006,16231,7646,50966,83785.7,35000,3119,2552,5126,2317,48114,627,428,615,2033,979,1385,280,1249,7596
"10","Ballard Branch","bal","MCW",-122.384386,47.669874,37.9333333333333,10571,24269,21489,7218,63547,102390.888888889,53715,1691,2331,2082,356,60175,948,400,466,2635,938,1897,186,1361,8831
"11","Broadview Branch","bro","NWR",-122.356211,47.723004,41.3,6660,13850,13292,6775,40577,78357,31143,1541,1638,3200,802,38324,494,348,452,1320,907,608,395,1131,5655
"12","Capitol Hill Branch","cap","MCE",-122.322335,47.622888,33.8045454545455,8876,68301,29467,12120,118764,85148.5,94460,3925,6996,7886,2076,115343,971,149,387,1724,931,1231,423,1178,6994
"13","Central Library","cen","DWN",-122.332984,47.6066,35.795,5935,56550,26510,10945,99940,64339.05,73743,4396,5577,11173,2670,97559,574,192,254,1423,443,757,151,681,4475
"14","Delridge Branch","dlr","SWR",-122.363262,47.553086,38.4083333333333,12959,21790,24432,8214,67395,77052.0833333333,52051,2624,1397,4503,2640,63215,1003,497,690,3537,1144,2031,213,1967,11082
"15","Douglass-Truth Branch","dth","MCE",-122.301876,47.601915,36.0071428571429,9702,33728,21266,7956,72652,79183.2142857143,54253,3571,2627,7078,2147,69676,717,337,763,1952,1322,1214,389,1567,8261
"16","Fremont Branch","fre","MCW",-122.3484,47.650068,34.26875,10315,45938,23690,8359,88302,98168.9375,73675,2374,4335,3734,608,84726,943,235,724,2372,885,1514,205,1409,8287
"17","Green Lake Branch","glk","NWR",-122.326817,47.681551,32.2,8895,40302,17796,6143,73136,83352.6428571429,55088,2622,3720,7825,698,69953,919,243,665,1710,940,959,260,1160,6856
"18","Greenwood Branch","gwd","NWR",-122.35475,47.687459,36.8866666666667,12395,32571,24572,8014,77552,95317.9333333333,63253,2411,2768,3770,630,72832,1009,379,693,2828,1155,1512,217,1792,9585
"19","High Point Branch","hip","SWR",-122.375787,47.54807,38.6454545454545,12525,19665,23371,7666,63227,82697.2727272727,50125,2058,1291,3264,2404,59142,974,501,759,3283,1099,1838,302,1795,10551
"20","Madrona-Sally Goldmark Branch","mgm","MCE",-122.289976,47.612695,37.2,8676,21051,16935,6985,53647,107097.272727273,43077,1890,2339,2481,1345,51132,799,245,635,1622,1260,1008,674,1265,7508
"21","Magnolia Branch","mag","MCW",-122.401332,47.645219,38.38,5141,13123,10783,4317,33364,101572.6,27055,1047,1837,1630,146,31715,488,170,212,1222,518,786,174,725,4295
"22","Montlake Branch","mon","MCE",-122.302389,47.640488,34.0769230769231,9673,38792,19212,7610,75287,100694.076923077,58674,1868,3729,7484,601,72356,912,262,706,1732,1292,1136,908,1045,7993
"23","Queen Anne Branch","qna","MCW",-122.362665,47.633814,33.6928571428571,8475,48651,22564,7552,87242,94561.5,70182,2125,5933,4746,1007,83993,1051,138,534,1950,635,1137,162,815,6422
"24","South Park Branch","spa","SWR",-122.322597,47.526216,36.15,5266,6306,6608,2520,20700,56759,12390,1356,403,4098,919,19166,113,272,98,1817,420,1023,16,926,4685
"25","Southwest Branch","swt","SWR",-122.376393,47.522511,39.21,10155,14220,17819,5662,47856,80329.1,35381,2465,1069,3143,2254,44312,740,448,510,2412,1101,1493,145,1558,8407
"26","Wallingford Branch","wal","NWR",-122.338924,47.661243,33.0833333333333,7321,32956,15793,5705,61775,92669.9166666667,50999,1727,2822,3586,341,59475,657,236,547,1550,686,1120,207,1045,6048
"27","West Seattle Branch","wts","SWR",-122.384767,47.582691,42.68,5618,8411,12080,4480,30589,98912,26421,685,749,860,313,29028,428,183,527,1652,529,660,237,755,4971
